[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>
26	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	26	1180.0	2400	18100	2	2	2
27	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	27	1190.0	2420	18200	2	2	2
28	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	28	1200.0	2440	18300	2	2	2
29	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	29	1210.0	2460	18400	2	2	2
30	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	30	1220.0	2480	18500	2	2	2
31	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	31	1630.0	3300	24100	3	3	3
32	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	32	1640.0	3320	24200	3	3	3
33	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	33	1650.0	3340	24300	3	3	3
34	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	34	1660.0	3360	24400	3	3	3
35	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	35	1670.0	3380	24500	3	3	3
36	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	36	1680.0	3400	24600	3	3	3
37	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	37	1690.0	3420	24700	3	3	3
38	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	38	1700.0	3440	24800	3	3	3
39	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	39	1710.0	3460	24900	3	3	3
40	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	40	1720.0	3480	25000	3	3	3
41	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	41	2130.0	4300	29100	4	4	4
42	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	42	2140.0	4320	29200	4	4	4
43	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	43	2150.0	4340	29300	4	4	4
44	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	44	2160.0	4360	29400	4	4	4
45	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	45	2170.0	4380	29500	4	4	4
46	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	46	2180.0	4400	29600	4	4	4
47	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	47	2190.0	4420	29700	4	4	4
48	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	48	2200.0	4440	29800	4	4	4
49	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	49	2210.0	4460	29900	4	4	4
50	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	50	2220.0	4480	30000	4	4	4
