[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>
35	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	5	1570.0	3180	23500	3	3	3
36	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	6	1580.0	3200	23600	3	3	3
37	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	7	1590.0	3220	23700	3	3	3
38	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	8	1600.0	3240	23800	3	3	3
39	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	9	1610.0	3260	23900	3	3	3
40	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	10	1620.0	3280	24000	3	3	3
41	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	1	2030.0	4100	28100	4	4	4
42	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	2	2040.0	4120	28200	4	4	4
43	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	3	2050.0	4140	28300	4	4	4
44	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	4	2060.0	4160	28400	4	4	4
45	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	5	2070.0	4180	28500	4	4	4
46	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	6	2080.0	4200	28600	4	4	4
47	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	7	2090.0	4220	28700	4	4	4
48	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	8	2100.0	4240	28800	4	4	4
49	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	9	2110.0	4260	28900	4	4	4
50	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	10	2120.0	4280	29000	4	4	4
